"","ID","Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","Income_fixed","Products","Amount"
"16",10476,1958,"Graduation","Married",67267,0,1,2014-05-13,0,1,3,2,5,2,"0","0","0","0","0","0","0","US",67267,"Fish",15
"17",10476,1958,"Graduation","Married",67267,0,1,2014-05-13,0,1,3,2,5,2,"0","0","0","0","0","0","0","US",67267,"Sweet",2
"18",10476,1958,"Graduation","Married",67267,0,1,2014-05-13,0,1,3,2,5,2,"0","0","0","0","0","0","0","US",67267,"Gold",30
"19",1386,1967,"Graduation","Together",32474,1,1,2014-05-11,0,1,1,0,2,7,"0","0","0","0","0","0","0","AUS",32474,"Wines",10
"20",1386,1967,"Graduation","Together",32474,1,1,2014-05-11,0,1,1,0,2,7,"0","0","0","0","0","0","0","AUS",32474,"Fruits",0
"21",1386,1967,"Graduation","Together",32474,1,1,2014-05-11,0,1,1,0,2,7,"0","0","0","0","0","0","0","AUS",32474,"Meat",1
"22",1386,1967,"Graduation","Together",32474,1,1,2014-05-11,0,1,1,0,2,7,"0","0","0","0","0","0","0","AUS",32474,"Fish",0
"23",1386,1967,"Graduation","Together",32474,1,1,2014-05-11,0,1,1,0,2,7,"0","0","0","0","0","0","0","AUS",32474,"Sweet",0
"24",1386,1967,"Graduation","Together",32474,1,1,2014-05-11,0,1,1,0,2,7,"0","0","0","0","0","0","0","AUS",32474,"Gold",0
"25",5371,1989,"Graduation","Single",21474,1,0,2014-04-08,0,2,3,1,2,7,"1","0","0","0","0","1","0","SP",21474,"Wines",6
"26",5371,1989,"Graduation","Single",21474,1,0,2014-04-08,0,2,3,1,2,7,"1","0","0","0","0","1","0","SP",21474,"Fruits",16
"27",5371,1989,"Graduation","Single",21474,1,0,2014-04-08,0,2,3,1,2,7,"1","0","0","0","0","1","0","SP",21474,"Meat",24
"28",5371,1989,"Graduation","Single",21474,1,0,2014-04-08,0,2,3,1,2,7,"1","0","0","0","0","1","0","SP",21474,"Fish",11
"29",5371,1989,"Graduation","Single",21474,1,0,2014-04-08,0,2,3,1,2,7,"1","0","0","0","0","1","0","SP",21474,"Sweet",0
"30",5371,1989,"Graduation","Single",21474,1,0,2014-04-08,0,2,3,1,2,7,"1","0","0","0","0","1","0","SP",21474,"Gold",34
"31",7348,1958,"PhD","Single",71691,0,0,2014-03-17,0,1,4,7,5,2,"0","0","0","0","0","1","0","SP",71691,"Wines",336
"32",7348,1958,"PhD","Single",71691,0,0,2014-03-17,0,1,4,7,5,2,"0","0","0","0","0","1","0","SP",71691,"Fruits",130
"33",7348,1958,"PhD","Single",71691,0,0,2014-03-17,0,1,4,7,5,2,"0","0","0","0","0","1","0","SP",71691,"Meat",411
"34",7348,1958,"PhD","Single",71691,0,0,2014-03-17,0,1,4,7,5,2,"0","0","0","0","0","1","0","SP",71691,"Fish",240
"35",7348,1958,"PhD","Single",71691,0,0,2014-03-17,0,1,4,7,5,2,"0","0","0","0","0","1","0","SP",71691,"Sweet",32
"36",7348,1958,"PhD","Single",71691,0,0,2014-03-17,0,1,4,7,5,2,"0","0","0","0","0","1","0","SP",71691,"Gold",43
"37",4073,1954,"2n Cycle","Married",63564,0,0,2014-01-29,0,1,10,10,7,6,"1","0","0","0","0","1","0","GER",63564,"Wines",769
"38",4073,1954,"2n Cycle","Married",63564,0,0,2014-01-29,0,1,10,10,7,6,"1","0","0","0","0","1","0","GER",63564,"Fruits",80
"39",4073,1954,"2n Cycle","Married",63564,0,0,2014-01-29,0,1,10,10,7,6,"1","0","0","0","0","1","0","GER",63564,"Meat",252
"40",4073,1954,"2n Cycle","Married",63564,0,0,2014-01-29,0,1,10,10,7,6,"1","0","0","0","0","1","0","GER",63564,"Fish",15
"41",4073,1954,"2n Cycle","Married",63564,0,0,2014-01-29,0,1,10,10,7,6,"1","0","0","0","0","1","0","GER",63564,"Sweet",34
"42",4073,1954,"2n Cycle","Married",63564,0,0,2014-01-29,0,1,10,10,7,6,"1","0","0","0","0","1","0","GER",63564,"Gold",65
"43",1991,1967,"Graduation","Together",44931,0,1,2014-01-18,0,1,2,1,3,5,"0","0","0","0","0","0","0","SP",44931,"Wines",78
"44",1991,1967,"Graduation","Together",44931,0,1,2014-01-18,0,1,2,1,3,5,"0","0","0","0","0","0","0","SP",44931,"Fruits",0
"45",1991,1967,"Graduation","Together",44931,0,1,2014-01-18,0,1,2,1,3,5,"0","0","0","0","0","0","0","SP",44931,"Meat",11
"46",1991,1967,"Graduation","Together",44931,0,1,2014-01-18,0,1,2,1,3,5,"0","0","0","0","0","0","0","SP",44931,"Fish",0
"47",1991,1967,"Graduation","Together",44931,0,1,2014-01-18,0,1,2,1,3,5,"0","0","0","0","0","0","0","SP",44931,"Sweet",0
"48",1991,1967,"Graduation","Together",44931,0,1,2014-01-18,0,1,2,1,3,5,"0","0","0","0","0","0","0","SP",44931,"Gold",7
"49",4047,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","US",65324,"Wines",384
"50",4047,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","US",65324,"Fruits",0
"51",4047,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","US",65324,"Meat",102
"52",4047,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","US",65324,"Fish",21
"53",4047,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","US",65324,"Sweet",32
"54",4047,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","US",65324,"Gold",5
"55",9477,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","IND",65324,"Wines",384
"56",9477,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","IND",65324,"Fruits",0
"57",9477,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","IND",65324,"Meat",102
"58",9477,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","IND",65324,"Fish",21
"59",9477,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","IND",65324,"Sweet",32
"60",9477,1954,"PhD","Married",65324,0,1,2014-01-11,0,3,6,2,9,4,"0","0","0","0","0","0","0","IND",65324,"Gold",5
"61",2079,1947,"2n Cycle","Married",81044,0,0,2013-12-27,0,1,5,6,10,1,"0","0","0","0","0","0","0","US",81044,"Wines",450
"62",2079,1947,"2n Cycle","Married",81044,0,0,2013-12-27,0,1,5,6,10,1,"0","0","0","0","0","0","0","US",81044,"Fruits",26
"63",2079,1947,"2n Cycle","Married",81044,0,0,2013-12-27,0,1,5,6,10,1,"0","0","0","0","0","0","0","US",81044,"Meat",535
"64",2079,1947,"2n Cycle","Married",81044,0,0,2013-12-27,0,1,5,6,10,1,"0","0","0","0","0","0","0","US",81044,"Fish",73
"65",2079,1947,"2n Cycle","Married",81044,0,0,2013-12-27,0,1,5,6,10,1,"0","0","0","0","0","0","0","US",81044,"Sweet",98
"66",2079,1947,"2n Cycle","Married",81044,0,0,2013-12-27,0,1,5,6,10,1,"0","0","0","0","0","0","0","US",81044,"Gold",26
"67",5642,1979,"Master","Together",62499,1,0,2013-12-09,0,2,3,1,6,4,"0","0","0","0","0","0","0","SP",62499,"Wines",140
"68",5642,1979,"Master","Together",62499,1,0,2013-12-09,0,2,3,1,6,4,"0","0","0","0","0","0","0","SP",62499,"Fruits",4
"69",5642,1979,"Master","Together",62499,1,0,2013-12-09,0,2,3,1,6,4,"0","0","0","0","0","0","0","SP",62499,"Meat",61
"70",5642,1979,"Master","Together",62499,1,0,2013-12-09,0,2,3,1,6,4,"0","0","0","0","0","0","0","SP",62499,"Fish",0
"71",5642,1979,"Master","Together",62499,1,0,2013-12-09,0,2,3,1,6,4,"0","0","0","0","0","0","0","SP",62499,"Sweet",13
"72",5642,1979,"Master","Together",62499,1,0,2013-12-09,0,2,3,1,6,4,"0","0","0","0","0","0","0","SP",62499,"Gold",4
"73",10530,1959,"PhD","Widow",67786,0,0,2013-12-07,0,1,3,6,6,1,"0","0","0","0","0","1","0","IND",67786,"Wines",431
"74",10530,1959,"PhD","Widow",67786,0,0,2013-12-07,0,1,3,6,6,1,"0","0","0","0","0","1","0","IND",67786,"Fruits",82
"75",10530,1959,"PhD","Widow",67786,0,0,2013-12-07,0,1,3,6,6,1,"0","0","0","0","0","1","0","IND",67786,"Meat",441
"76",10530,1959,"PhD","Widow",67786,0,0,2013-12-07,0,1,3,6,6,1,"0","0","0","0","0","1","0","IND",67786,"Fish",80
"77",10530,1959,"PhD","Widow",67786,0,0,2013-12-07,0,1,3,6,6,1,"0","0","0","0","0","1","0","IND",67786,"Sweet",20
"78",10530,1959,"PhD","Widow",67786,0,0,2013-12-07,0,1,3,6,6,1,"0","0","0","0","0","1","0","IND",67786,"Gold",102
"79",2964,1981,"Graduation","Married",26872,0,0,2013-10-16,0,1,1,1,2,6,"0","0","0","0","0","0","0","CA",26872,"Wines",3
"80",2964,1981,"Graduation","Married",26872,0,0,2013-10-16,0,1,1,1,2,6,"0","0","0","0","0","0","0","CA",26872,"Fruits",10
"81",2964,1981,"Graduation","Married",26872,0,0,2013-10-16,0,1,1,1,2,6,"0","0","0","0","0","0","0","CA",26872,"Meat",8
"82",2964,1981,"Graduation","Married",26872,0,0,2013-10-16,0,1,1,1,2,6,"0","0","0","0","0","0","0","CA",26872,"Fish",3
"83",2964,1981,"Graduation","Married",26872,0,0,2013-10-16,0,1,1,1,2,6,"0","0","0","0","0","0","0","CA",26872,"Sweet",16
"84",2964,1981,"Graduation","Married",26872,0,0,2013-10-16,0,1,1,1,2,6,"0","0","0","0","0","0","0","CA",26872,"Gold",32
"85",10311,1969,"Graduation","Married",4428,0,1,2013-10-05,0,0,25,0,0,1,"0","0","0","0","0","0","0","SP",4428,"Wines",16
"86",10311,1969,"Graduation","Married",4428,0,1,2013-10-05,0,0,25,0,0,1,"0","0","0","0","0","0","0","SP",4428,"Fruits",4
"87",10311,1969,"Graduation","Married",4428,0,1,2013-10-05,0,0,25,0,0,1,"0","0","0","0","0","0","0","SP",4428,"Meat",12
"88",10311,1969,"Graduation","Married",4428,0,1,2013-10-05,0,0,25,0,0,1,"0","0","0","0","0","0","0","SP",4428,"Fish",2
"89",10311,1969,"Graduation","Married",4428,0,1,2013-10-05,0,0,25,0,0,1,"0","0","0","0","0","0","0","SP",4428,"Sweet",4
"90",10311,1969,"Graduation","Married",4428,0,1,2013-10-05,0,0,25,0,0,1,"0","0","0","0","0","0","0","SP",4428,"Gold",321
"91",837,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","0","0","SP",54809,"Wines",63
"92",837,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","0","0","SP",54809,"Fruits",6
"93",837,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","0","0","SP",54809,"Meat",57
"94",837,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","0","0","SP",54809,"Fish",13
"95",837,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","0","0","SP",54809,"Sweet",13
"96",837,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","0","0","SP",54809,"Gold",22
"97",10521,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","1","0","SP",54809,"Wines",63
"98",10521,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","1","0","SP",54809,"Fruits",6
"99",10521,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","1","0","SP",54809,"Meat",57
"100",10521,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","1","0","SP",54809,"Fish",13
"101",10521,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","1","0","SP",54809,"Sweet",13
"102",10521,1977,"Graduation","Married",54809,1,1,2013-09-11,0,4,2,1,5,4,"0","0","0","0","0","1","0","SP",54809,"Gold",22
"103",10175,1958,"PhD","Divorced",32173,0,1,2013-08-01,0,1,1,0,3,4,"0","0","0","0","0","0","0","SP",32173,"Wines",18
"104",10175,1958,"PhD","Divorced",32173,0,1,2013-08-01,0,1,1,0,3,4,"0","0","0","0","0","0","0","SP",32173,"Fruits",0
"105",10175,1958,"PhD","Divorced",32173,0,1,2013-08-01,0,1,1,0,3,4,"0","0","0","0","0","0","0","SP",32173,"Meat",2
"106",10175,1958,"PhD","Divorced",32173,0,1,2013-08-01,0,1,1,0,3,4,"0","0","0","0","0","0","0","SP",32173,"Fish",0
"107",10175,1958,"PhD","Divorced",32173,0,1,2013-08-01,0,1,1,0,3,4,"0","0","0","0","0","0","0","SP",32173,"Sweet",0
"108",10175,1958,"PhD","Divorced",32173,0,1,2013-08-01,0,1,1,0,3,4,"0","0","0","0","0","0","0","SP",32173,"Gold",2
"109",1473,1960,"2n Cycle","Single",47823,0,1,2013-07-23,0,2,2,0,3,8,"0","0","0","0","0","0","0","CA",47823,"Wines",53
"110",1473,1960,"2n Cycle","Single",47823,0,1,2013-07-23,0,2,2,0,3,8,"0","0","0","0","0","0","0","CA",47823,"Fruits",1
"111",1473,1960,"2n Cycle","Single",47823,0,1,2013-07-23,0,2,2,0,3,8,"0","0","0","0","0","0","0","CA",47823,"Meat",5
"112",1473,1960,"2n Cycle","Single",47823,0,1,2013-07-23,0,2,2,0,3,8,"0","0","0","0","0","0","0","CA",47823,"Fish",2
"113",1473,1960,"2n Cycle","Single",47823,0,1,2013-07-23,0,2,2,0,3,8,"0","0","0","0","0","0","0","CA",47823,"Sweet",1
"114",1473,1960,"2n Cycle","Single",47823,0,1,2013-07-23,0,2,2,0,3,8,"0","0","0","0","0","0","0","CA",47823,"Gold",10
"115",2795,1958,"Master","Single",30523,2,1,2013-07-01,0,1,1,0,2,7,"0","0","0","0","0","0","0","CA",30523,"Wines",5
"116",2795,1958,"Master","Single",30523,2,1,2013-07-01,0,1,1,0,2,7,"0","0","0","0","0","0","0","CA",30523,"Fruits",0
"117",2795,1958,"Master","Single",30523,2,1,2013-07-01,0,1,1,0,2,7,"0","0","0","0","0","0","0","CA",30523,"Meat",3
"118",2795,1958,"Master","Single",30523,2,1,2013-07-01,0,1,1,0,2,7,"0","0","0","0","0","0","0","CA",30523,"Fish",0
"119",2795,1958,"Master","Single",30523,2,1,2013-07-01,0,1,1,0,2,7,"0","0","0","0","0","0","0","CA",30523,"Sweet",0
"120",2795,1958,"Master","Single",30523,2,1,2013-07-01,0,1,1,0,2,7,"0","0","0","0","0","0","0","CA",30523,"Gold",5
"121",2285,1954,"Master","Together",36634,0,1,2013-05-28,0,3,5,2,5,7,"0","0","0","0","0","0","0","SA",36634,"Wines",213
"122",2285,1954,"Master","Together",36634,0,1,2013-05-28,0,3,5,2,5,7,"0","0","0","0","0","0","0","SA",36634,"Fruits",9
"123",2285,1954,"Master","Together",36634,0,1,2013-05-28,0,3,5,2,5,7,"0","0","0","0","0","0","0","SA",36634,"Meat",76
"124",2285,1954,"Master","Together",36634,0,1,2013-05-28,0,3,5,2,5,7,"0","0","0","0","0","0","0","SA",36634,"Fish",4
"125",2285,1954,"Master","Together",36634,0,1,2013-05-28,0,3,5,2,5,7,"0","0","0","0","0","0","0","SA",36634,"Sweet",3
"126",2285,1954,"Master","Together",36634,0,1,2013-05-28,0,3,5,2,5,7,"0","0","0","0","0","0","0","SA",36634,"Gold",30
"127",115,1966,"Master","Single",43456,0,1,2013-03-26,0,3,5,1,8,5,"0","0","0","0","0","0","0","IND",43456,"Wines",275
"128",115,1966,"Master","Single",43456,0,1,2013-03-26,0,3,5,1,8,5,"0","0","0","0","0","0","0","IND",43456,"Fruits",11
"129",115,1966,"Master","Single",43456,0,1,2013-03-26,0,3,5,1,8,5,"0","0","0","0","0","0","0","IND",43456,"Meat",68
"130",115,1966,"Master","Single",43456,0,1,2013-03-26,0,3,5,1,8,5,"0","0","0","0","0","0","0","IND",43456,"Fish",25
"131",115,1966,"Master","Single",43456,0,1,2013-03-26,0,3,5,1,8,5,"0","0","0","0","0","0","0","IND",43456,"Sweet",7
"132",115,1966,"Master","Single",43456,0,1,2013-03-26,0,3,5,1,8,5,"0","0","0","0","0","0","0","IND",43456,"Gold",7
"133",10470,1979,"Master","Married",40662,1,0,2013-03-15,0,2,2,1,3,4,"0","0","0","0","0","0","0","GER",40662,"Wines",40
"134",10470,1979,"Master","Married",40662,1,0,2013-03-15,0,2,2,1,3,4,"0","0","0","0","0","0","0","GER",40662,"Fruits",2
"135",10470,1979,"Master","Married",40662,1,0,2013-03-15,0,2,2,1,3,4,"0","0","0","0","0","0","0","GER",40662,"Meat",23
"136",10470,1979,"Master","Married",40662,1,0,2013-03-15,0,2,2,1,3,4,"0","0","0","0","0","0","0","GER",40662,"Fish",0
"137",10470,1979,"Master","Married",40662,1,0,2013-03-15,0,2,2,1,3,4,"0","0","0","0","0","0","0","GER",40662,"Sweet",4
"138",10470,1979,"Master","Married",40662,1,0,2013-03-15,0,2,2,1,3,4,"0","0","0","0","0","0","0","GER",40662,"Gold",23
"139",4065,1976,"PhD","Married",49544,1,0,2013-02-12,0,2,5,1,8,7,"0","0","0","0","0","0","0","SP",49544,"Wines",308
"140",4065,1976,"PhD","Married",49544,1,0,2013-02-12,0,2,5,1,8,7,"0","0","0","0","0","0","0","SP",49544,"Fruits",0
"141",4065,1976,"PhD","Married",49544,1,0,2013-02-12,0,2,5,1,8,7,"0","0","0","0","0","0","0","SP",49544,"Meat",73
"142",4065,1976,"PhD","Married",49544,1,0,2013-02-12,0,2,5,1,8,7,"0","0","0","0","0","0","0","SP",49544,"Fish",0
"143",4065,1976,"PhD","Married",49544,1,0,2013-02-12,0,2,5,1,8,7,"0","0","0","0","0","0","0","SP",49544,"Sweet",0
"144",4065,1976,"PhD","Married",49544,1,0,2013-02-12,0,2,5,1,8,7,"0","0","0","0","0","0","0","SP",49544,"Gold",23
"145",10968,1969,"Graduation","Single",57731,0,1,2012-11-23,0,4,8,8,6,6,"0","0","0","0","0","0","0","IND",57731,"Wines",266
"146",10968,1969,"Graduation","Single",57731,0,1,2012-11-23,0,4,8,8,6,6,"0","0","0","0","0","0","0","IND",57731,"Fruits",21
"147",10968,1969,"Graduation","Single",57731,0,1,2012-11-23,0,4,8,8,6,6,"0","0","0","0","0","0","0","IND",57731,"Meat",300
"148",10968,1969,"Graduation","Single",57731,0,1,2012-11-23,0,4,8,8,6,6,"0","0","0","0","0","0","0","IND",57731,"Fish",65
"149",10968,1969,"Graduation","Single",57731,0,1,2012-11-23,0,4,8,8,6,6,"0","0","0","0","0","0","0","IND",57731,"Sweet",8
"150",10968,1969,"Graduation","Single",57731,0,1,2012-11-23,0,4,8,8,6,6,"0","0","0","0","0","0","0","IND",57731,"Gold",44
"151",5985,1965,"Master","Single",33168,0,1,2012-10-13,0,3,2,1,4,7,"0","0","0","0","0","0","0","SP",33168,"Wines",80
"152",5985,1965,"Master","Single",33168,0,1,2012-10-13,0,3,2,1,4,7,"0","0","0","0","0","0","0","SP",33168,"Fruits",1
"153",5985,1965,"Master","Single",33168,0,1,2012-10-13,0,3,2,1,4,7,"0","0","0","0","0","0","0","SP",33168,"Meat",37
"154",5985,1965,"Master","Single",33168,0,1,2012-10-13,0,3,2,1,4,7,"0","0","0","0","0","0","0","SP",33168,"Fish",0
"155",5985,1965,"Master","Single",33168,0,1,2012-10-13,0,3,2,1,4,7,"0","0","0","0","0","0","0","SP",33168,"Sweet",1
"156",5985,1965,"Master","Single",33168,0,1,2012-10-13,0,3,2,1,4,7,"0","0","0","0","0","0","0","SP",33168,"Gold",3
"157",5430,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Wines",454
"158",5430,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Fruits",0
"159",5430,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Meat",171
"160",5430,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Fish",8
"161",5430,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Sweet",19
"162",5430,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Gold",32
"163",8432,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Wines",454
"164",8432,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Fruits",0
"165",8432,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Meat",171
"166",8432,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Fish",8
"167",8432,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Sweet",19
"168",8432,1956,"Graduation","Together",54450,1,1,2012-09-14,0,12,9,2,8,8,"0","0","0","0","0","0","0","SP",54450,"Gold",32
"169",453,1956,"PhD","Widow",35340,1,1,2014-06-29,1,2,2,0,3,5,"0","0","0","0","0","0","0","SP",35340,"Wines",27
"170",453,1956,"PhD","Widow",35340,1,1,2014-06-29,1,2,2,0,3,5,"0","0","0","0","0","0","0","SP",35340,"Fruits",0
"171",453,1956,"PhD","Widow",35340,1,1,2014-06-29,1,2,2,0,3,5,"0","0","0","0","0","0","0","SP",35340,"Meat",12
"172",453,1956,"PhD","Widow",35340,1,1,2014-06-29,1,2,2,0,3,5,"0","0","0","0","0","0","0","SP",35340,"Fish",0
"173",453,1956,"PhD","Widow",35340,1,1,2014-06-29,1,2,2,0,3,5,"0","0","0","0","0","0","0","SP",35340,"Sweet",1
"174",453,1956,"PhD","Widow",35340,1,1,2014-06-29,1,2,2,0,3,5,"0","0","0","0","0","0","0","SP",35340,"Gold",5
"175",9687,1975,"Graduation","Single",73170,0,0,2014-05-31,1,1,5,4,6,2,"0","0","0","0","0","0","0","CA",73170,"Wines",184
"176",9687,1975,"Graduation","Single",73170,0,0,2014-05-31,1,1,5,4,6,2,"0","0","0","0","0","0","0","CA",73170,"Fruits",174
"177",9687,1975,"Graduation","Single",73170,0,0,2014-05-31,1,1,5,4,6,2,"0","0","0","0","0","0","0","CA",73170,"Meat",256
"178",9687,1975,"Graduation","Single",73170,0,0,2014-05-31,1,1,5,4,6,2,"0","0","0","0","0","0","0","CA",73170,"Fish",50
"179",9687,1975,"Graduation","Single",73170,0,0,2014-05-31,1,1,5,4,6,2,"0","0","0","0","0","0","0","CA",73170,"Sweet",30
"180",9687,1975,"Graduation","Single",73170,0,0,2014-05-31,1,1,5,4,6,2,"0","0","0","0","0","0","0","CA",73170,"Gold",32
"181",8890,1971,"PhD","Divorced",65808,1,1,2014-05-30,1,3,5,1,5,6,"0","0","0","0","0","0","0","SP",65808,"Wines",155
"182",8890,1971,"PhD","Divorced",65808,1,1,2014-05-30,1,3,5,1,5,6,"0","0","0","0","0","0","0","SP",65808,"Fruits",7
"183",8890,1971,"PhD","Divorced",65808,1,1,2014-05-30,1,3,5,1,5,6,"0","0","0","0","0","0","0","SP",65808,"Meat",80
"184",8890,1971,"PhD","Divorced",65808,1,1,2014-05-30,1,3,5,1,5,6,"0","0","0","0","0","0","0","SP",65808,"Fish",13
"185",8890,1971,"PhD","Divorced",65808,1,1,2014-05-30,1,3,5,1,5,6,"0","0","0","0","0","0","0","SP",65808,"Sweet",7
"186",8890,1971,"PhD","Divorced",65808,1,1,2014-05-30,1,3,5,1,5,6,"0","0","0","0","0","0","0","SP",65808,"Gold",10
"187",9264,1986,"Graduation","Married",79529,0,0,2014-04-27,1,1,4,8,9,2,"0","0","0","0","0","0","0","CA",79529,"Wines",423
"188",9264,1986,"Graduation","Married",79529,0,0,2014-04-27,1,1,4,8,9,2,"0","0","0","0","0","0","0","CA",79529,"Fruits",42
"189",9264,1986,"Graduation","Married",79529,0,0,2014-04-27,1,1,4,8,9,2,"0","0","0","0","0","0","0","CA",79529,"Meat",706
