cansim_table_number|title|subject|keywords|notes|date_published|time_period_coverage_start|time_period_coverage_end|url_en
14-10-0365|Labour force characteristics by region and detailed Aboriginal group|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, labour force characteristics, table|<p>Number of persons in the labour force (employment and unemployment) and not in the labour force, unemployment rate, participation rate and employment rate by Atlantic region, Central provinces, Western provinces, Aboriginal population (First Nations or Métis) and Non-Aboriginal population, sex, and age group, last 5 years.<br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100365-eng.zip
14-10-0366|Employment by Aboriginal group and industry|labour, persons|employment and unemployment, employment by occupation industry or sector, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|<p>Employment by Aboriginal and Non-Aboriginal population, North American Industry Classification System (NAICS), sex, and age group, last 5 years.<br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100366-eng.zip
14-10-0367|Employment by geography, Aboriginal group and industry|labour, persons|employment and unemployment, employment by occupation industry or sector, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|<p>Employment by Eastern and central provinces, Western provinces, Prairie region, Aboriginal and Non-Aboriginal population, North American Industry Classification System (NAICS), and age group, last 5 years.<br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100367-eng.zip
14-10-0368|Labour force survey estimates (LFS), employment by Aboriginal group, National Occupational Classification for Statistics (NOC-S), sex and age group|labour, persons|employment and unemployment, employment by occupation industry or sector, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|<p>This table contains 450 series, with data for years 2007 - 2015 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Aboriginal group (5 items: Total population; Aboriginal population; First Nations; Métis; ...); National Occupational Classification for Statistics (NOC-S) (10 items: Total, all occupations; Management occupations; Business, finance and administrative occupations; Natural and applied sciences and related occupations; ...); Sex (3 items: Both sexes; Males; Females); Age group (3 items: 15 years and over; 25 years and over; 25 to 54 years).<br></p>|2017-03-13 08:30:00|2007-01-01 00:00:00|2015-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/14100368-eng.zip
14-10-0369|Labour force survey estimates (LFS), employment by Aboriginal group, National Occupational Classification for Statistics (NOC-S) and age group, Canada, selected provinces and regions|labour, persons|employment and unemployment, employment by occupation industry or sector, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table|<p>This table contains 400 series, with data for years 2007 - 2015 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (8 items: Canada; Eastern and central provinces; Western provinces; Prairie region; ...); Aboriginal group (5 items: Total population; Aboriginal population; First Nations; Métis; ...); National Occupational Classification for Statistics (NOC-S) (5 items: Total, all occupations; Management, business, finance and administrative occupations; Occupations in natural and applied sciences, health, social science, education, government services, religion, art, culture, recreation and sport; Sales and service occupations; ...); Age group (2 items: 15 years and over; 25 years and over).<br></p>|2017-03-13 08:30:00|2007-01-01 00:00:00|2015-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/14100369-eng.zip
14-10-0370|Average hourly and weekly wages and average usual weekly hours by Aboriginal group|labour, persons|earnings wages and non-wage benefits, employment and unemployment, hours of work, hours of work and work arrangements, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, other content related to earnings wages and non-wage benefits, table|<p>Average hourly and weekly wages and average usual weekly hours by Aboriginal and Non-Aboriginal population and age group, last 5 years.<br></p>|2020-01-10 08:30:00|NA|NA|https://www150.statcan.gc.ca/n1/tbl/csv/14100370-eng.zip
17-10-0092|Aboriginal population as a proportion of total population, Canada, provinces, territories and health regions, 1996|persons|demographic characteristics and indigenous groups, indigenous peoples, population and demography, table|<p>This table contains 173 series, with data for years 1996 - 1996 (not all combinations necessarily have data for all years), and is no longer being released.     This table contains data described by the following dimensions (Not all combinations are available):  Geography (173 items: Canada; Newfoundland and Labrador; Health and Community Services St. John's Region, Newfoundland and Labrador; Health and Community Services Eastern Region, Newfoundland and Labrador; ...).<br></p>|2017-03-06 08:30:00|1996-01-01 00:00:00|1996-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/17100092-eng.zip
17-10-0116|Estimates and projections of population aged 0 to 29 with Aboriginal identity, and proportion of persons with Aboriginal identity among the Canadian population, by age group, Canada|persons|demographic characteristics and indigenous groups, indigenous peoples, other content related to population estimates, population and demography, population estimates, table|<p>Estimates and projections of population aged 0 to 29 with Aboriginal identity, and proportion of person with Aboriginal identity among the Canadian population, by age group, Canada. This table is included in Section A: A portrait of the school-age population: Population size of the Pan Canadian Education Indicators Program (PCEIP). PCEIP draws from a wide variety of data sources to provide information on the school-age population, elementary, secondary and postsecondary education, transitions, and labour market outcomes. The program presents indicators for all of Canada, the provinces, the territories, as well as selected international comparisons and comparisons over time. PCEIP is an ongoing initiative of the Canadian Education Statistics Council, a partnership between Statistics Canada and the Council of Ministers of Education, Canada that provides a set of statistical measures on education systems in Canada.<br></p>|2017-05-26 08:30:00|2006-01-01 00:00:00|2036-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/17100116-eng.zip
35-10-0007|Youth admissions to correctional services, by Aboriginal identity and sex|law, persons|children and youth, correctional services, crime and justice, table, youth correctional services, youth crime and justice|Youth custody and community services, admissions to correctional services by sex and Aboriginal identity, five years of data.|2019-05-09 08:30:00|1997-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100007-eng.zip
35-10-0016|Adult custody admissions to correctional services by aboriginal identity|law, persons|adult correctional services, correctional services, crime and justice, crime and victimization, indigenous peoples, table|Adult correctional services, custodial admissions to provincial and territorial programs by aboriginal identity, five years of data.|2019-05-09 08:30:00|2000-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100016-eng.zip
35-10-0020|Adult admissions to community services by aboriginal identity|law, persons|adult correctional services, correctional services, crime and justice, crime and victimization, indigenous peoples, table|Adult correctional services, community admissions to provincial and territorial programs by aboriginal identity, five years of data.|2019-05-09 08:30:00|2000-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100020-eng.zip
35-10-0060|Number of homicide victims and persons accused of homicide, by Aboriginal identity, age group and sex|law, persons|crime and justice, crime and victimization, crimes and offences, homicides, indigenous peoples, table|<p>Number of homicide victims and persons accused of homicide, by Aboriginal identity, (total, by Aboriginal identity; Aboriginal identity; non-Aboriginal identity; unknown Aboriginal identity), age group (total all ages; 0 to 11 years; 12 to 17 years; 18 to 24 years; 25 to 29 years; 30 to 39 years; 40 to 49 years; 50 to 59 years; 60 years and over; age unknown) and sex (both sexes; male; female; sex unknown), Canada, 1974 to 2018.<br></p>|2019-07-22 08:30:00|1974-01-01 00:00:00|2018-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100060-eng.zip
35-10-0119|Number and rate of victims of solved homicides, by sex, Aboriginal identity and type of accused-victim relationship|law, persons|crime and justice, crime and victimization, crimes and offences, homicides, indigenous peoples, table|<p>Number and rate (per 100,000 population) of victims of solved homicides, by sex (both sexes; male; female; sex unknown), Aboriginal identity (total, homicide victims by Aboriginal identity; Aboriginal identity; non-Aboriginal identity; unknown Aboriginal identity) and type of accused-victim relationship, Canada, 2014 to 2018.<br></p>|2019-07-22 08:30:00|2014-01-01 00:00:00|2018-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100119-eng.zip
35-10-0139|In-house services provided by shelters to children residents, ex-residents and non-residents|law|crime and justice, table, victim services, victimization|This table contains 72 series, with data for years 1998 - 2000 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Type of resident (3 items: Resident;Non-resident;Ex-resident); Estimates (2 items: Number of shelters;Percent); Type of in-house service (12 items: Individual counselling;Group counselling/support;Programs for child witnesses or victims of abuse;Culturally sensitive services for Aboriginal children; ...).|2007-01-25 08:30:00|1998-01-01 00:00:00|2000-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100139-eng.zip
35-10-0156|Number, percentage and rate of homicide victims, by sex and Aboriginal identity|law|crime and justice, crimes and offences, homicides, table|<p>Number, percentage and rate (per 100,000 population) of homicide victims, by sex (both sexes; male; female; sex unknown) and Aboriginal identity (total; Aboriginal identity; non-Aboriginal identity; unknown aboriginal identity), Canada, provinces and territories, 2014 to 2018.  </p>|2019-07-22 08:30:00|2014-01-01 00:00:00|2018-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100156-eng.zip
35-10-0157|Number, percentage and rate of persons accused of homicide, by sex and Aboriginal identity|law|crime and justice, crimes and offences, homicides, table|<p>Number, percentage and rate (per 100,000 population) of persons accused of homicide, by sex (both sexes; male; female; sex unknown) and Aboriginal identity (total; Aboriginal identity; non-Aboriginal identity; unknown aboriginal identity), Canada, provinces and territories, 2014 to 2018.  </p>|2019-07-22 08:30:00|2014-01-01 00:00:00|2018-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/35100157-eng.zip
37-10-0055|Literacy, numeracy - Average scores and distribution of proficiency levels, by Aboriginal status (off-reserve), immigrant status, minority language status and sex|education_and_training|education training and learning, literacy, table|<p>Literacy or numeracy - Average scores and distribution of proficiency levels, by Aboriginal status (off-reserve), immigrant status, minority language status and sex, population aged 16-65, selected provinces and territories 2012.</p>|2015-06-22 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100055-eng.zip
37-10-0056|Problem-solving in technology-rich environments - Distribution of non-respondents and proficiency levels by Aboriginal status (off-reserve), immigrant status, minority language status and sex|education_and_training|education training and learning, literacy, table|<p>Problem-solving in technology-rich environments (PS-TRE) - Distribution of non-respondents and proficiency levels, by Aboriginal status (off-reserve), immigrant status, minority language status and sex, population aged 16-65, selected provinces and territories 2012.</p>|2015-06-22 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100056-eng.zip
37-10-0078|Number of students in Aboriginal language programs, public elementary and secondary schools, by program type|education_and_training, language_and_linguistics, persons|education training and learning, elementary and secondary education, enrolments and attendance elementary and secondary, indigenous languages, indigenous peoples, knowledge of languages, language and culture, languages, table|<p>The number of students in regular Aboriginal language programs and Aboriginal language immersion programs in public elementary and secondary schools.<br></p>|2019-10-24 08:30:00|2012-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100078-eng.zip
37-10-0095|School-age population with Aboriginal identity by living arrangements and age group|education_and_training, persons|characteristics of the school-age population indicators, education indicators, education training and learning, indigenous peoples, living arrangements and housing, table|Distribution of the population aged 5 to 24 with Aboriginal identity, by age group and living arrangements, Canada. This table is included in Section A: A portrait of the school-age population: Family Background of the Pan Canadian Education Indicators Program (PCEIP). PCEIP draws from a wide variety of data sources to provide information on the school-age population, elementary, secondary and postsecondary education, transitions, and labour market outcomes. The program presents indicators for all of Canada, the provinces, the territories, as well as selected international comparisons and comparisons over time. PCEIP is an ongoing initiative of the Canadian Education Statistics Council, a partnership between Statistics Canada and the Council of Ministers of Education, Canada that provides a set of statistical measures on education systems in Canada.|2019-09-18 08:30:00|2011-01-01 00:00:00|2016-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100095-eng.zip
37-10-0096|School-age population with Aboriginal identity, by work activity of parents and age group|education_and_training, labour, persons|characteristics of the school-age population indicators, education indicators, education training and learning, hours of work and work arrangements, indigenous peoples, labour, labour and employment, other content related to hours of work and work arrangements, table|Distribution of the population aged 5 to 24 with Aboriginal identity, by age group and by work activity of parents, Canada. This table is included in Section A: A portrait of the school-age population: Family Background  of the Pan Canadian Education Indicators Program (PCEIP). PCEIP draws from a wide variety of data sources to provide information on the school-age population, elementary, secondary and postsecondary education, transitions, and labour market outcomes. The program presents indicators for all of Canada, the provinces, the territories, as well as selected international comparisons and comparisons over time. PCEIP is an ongoing initiative of the Canadian Education Statistics Council, a partnership between Statistics Canada and the Council of Ministers of Education, Canada that provides a set of statistical measures on education systems in Canada.|2019-09-18 08:30:00|2011-01-01 00:00:00|2016-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100096-eng.zip
37-10-0099|Distribution of the population aged 25 to 64 (total and with Aboriginal identity), by highest certificate, diploma or degree and age group|education_and_training, persons|education learning and skills, education training and learning, educational attainment and qualifications, indigenous peoples, table|Distribution of the population aged 25 to 64 with total Aboriginal identity, by highest certificate, diploma or degree and age group, Canada. This table focuses on total aboriginal identity only. This table is included in Section D: Postsecondary education: Educational attainment of the population aged 25 to 64 of the Pan Canadian Education Indicators Program (PCEIP). PCEIP draws from a wide variety of data sources to provide information on the school-age population, elementary, secondary and postsecondary education, transitions, and labour market outcomes. The program presents indicators for all of Canada, the provinces, the territories, as well as selected international comparisons and comparisons over time. PCEIP is an ongoing initiative of the Canadian Education Statistics Council, a partnership between Statistics Canada and the Council of Ministers of Education, Canada that provides a set of statistical measures on education systems in Canada.|2018-03-21 08:30:00|2011-01-01 00:00:00|2016-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100099-eng.zip
37-10-0100|Distribution of population aged 25 to 64 (total and with Aboriginal identity), by sex and educational attainment|education_and_training|education training and learning, educational attainment and qualifications, table|Distribution of the population aged 25 to 64, by sex and highest certificate, diploma or degree, Canada, provinces and territories. This table is included in Section D: Postsecondary education: Educational attainment of the population aged 25 to 64 of the Pan Canadian Education Indicators Program (PCEIP). PCEIP draws from a wide variety of data sources to provide information on the school-age population, elementary, secondary and postsecondary education, transitions, and labour market outcomes. The program presents indicators for all of Canada, the provinces, the territories, as well as selected international comparisons and comparisons over time. PCEIP is an ongoing initiative of the Canadian Education Statistics Council, a partnership between Statistics Canada and the Council of Ministers of Education, Canada that provides a set of statistical measures on education systems in Canada.|2018-03-21 08:30:00|2011-01-01 00:00:00|2016-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100100-eng.zip
37-10-0117|Educational attainment in the population aged 25 to 64, off-reserve Aboriginal, non-Aboriginal and total population|education_and_training|education indicators, education training and learning, educational attainment and qualifications, postsecondary education indicators, table|Educational attainment in the population aged 25 to 64, off-reserve Aboriginal, non-Aboriginal and total population, Canada and jurisdictions. This table is included in Section D: Postsecondary education: Educational attainment of the population aged 25 to 64 of the Pan Canadian Education Indicators Program (PCEIP). PCEIP draws from a wide variety of data sources to provide information on the school-age population, elementary, secondary and postsecondary education, transitions, and labour market outcomes. The program presents indicators for all of Canada, the provinces, the territories, as well as selected international comparisons and comparisons over time. PCEIP is an ongoing initiative of the Canadian Education Statistics Council, a partnership between Statistics Canada and the Council of Ministers of Education, Canada that provides a set of statistical measures on education systems in Canada.|2018-09-27 08:30:00|2010-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100117-eng.zip
37-10-0127|Apprentices' employment status by sex, aboriginal identity and immigrant status, Canada|education_and_training, labour|apprenticeship and trades, education and labour market outcomes, education training and learning, job training and apprenticeship programs, labour, table|<p>This table contains 126 series, with data for years 2015 - 2015 (not all combinations necessarily have data for all years).&nbsp;This table contains data described by the following dimensions (Not all combinations are available):  Geography (1 item: Canada)  Employment characteristics (12 items: Worked at job/business week prior to interview; Didn't work at job/business week prior to interview; Sample size of apprentices used in calculations (worked/didn't work at job/business week prior to interview); Worked full-time (30 hours or more per week); ...)  Demographic characteristics (6 items: Men; Women; Aboriginal apprentices; Non-Aboriginal apprentices; ...)  Statistics (3 items: Percent; Standard error; Number).<br></p>|2017-04-04 08:30:00|2015-01-01 00:00:00|2015-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100127-eng.zip
37-10-0141|Headcount enrolments in public school Aboriginal language programs, inactive|education_and_training, persons|education training and learning, elementary and secondary education, enrolments and attendance elementary and secondary, indigenous peoples, language and culture, table|<p>Headcount enrolments in public school Aboriginal language programs, last five school years.<br></p>|2017-11-03 08:30:00|2001-01-01 00:00:00|2015-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/37100141-eng.zip
41-10-0001|Perceived general health by Aboriginal identity|health_and_safety, persons|health, health and well-being, indigenous peoples, mental health and well-being, perceived or self-rated health, table|Perceived general health, by Aboriginal identity, age group and sex, population aged 6 years and over, occasional.|2015-07-14 08:30:00|2001-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100001-eng.zip
41-10-0002|Perceived general health, Inuit population, by Inuit region of residence|health_and_safety, persons|demographic characteristics and indigenous groups, health, health and well-being, indigenous peoples, mental health and well-being, perceived or self-rated health, table|Perceived general health, by age group and sex, Inuit population aged 6 years and over, Canada and Inuit Nunangut (occasional).|2015-11-09 08:30:00|2001-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100002-eng.zip
41-10-0003|Access to and use of health care services by Aboriginal identity|health_and_safety, persons|access to health care, health, health and well-being, health care services, indigenous peoples, table|Access to and use of health care services, by Aboriginal identity, age group and sex, population aged 6 years and over, occasional.|2015-07-14 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100003-eng.zip
41-10-0004|Access to and use of health care services, Inuit population, by Inuit region of residence|health_and_safety, persons|access to health care, demographic characteristics and indigenous groups, health, health and well-being, health care services, indigenous peoples, table|Access to and use of health care services, by Aboriginal identity, age group and sex, population aged 6 years and over, Canada, provinces and territories (occasional).|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100004-eng.zip
41-10-0005|Long-term health problems (self-reported) by Aborginal identity|persons|health and well-being, indigenous peoples, table|Long-term health problems (self-reported) by Aboriginal identity and sex, population aged 6 to 11 years, occasional.|2015-07-14 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100005-eng.zip
41-10-0006|Long-term health problems (self-reported) by Aborginal Identity, aged 12 years and over|persons|health and well-being, indigenous peoples, table|Long-term health problems (self-reported) by Aboriginal identity and sex, population aged 6 to 11 years, Canada, provinces and territories (occasional).|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100006-eng.zip
41-10-0007|Smoking status by Aboriginal identity|health_and_safety, persons|health, health and well-being, indigenous peoples, lifestyle and social conditions, smoking, table|Smoking status, by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories (occasional).|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100007-eng.zip
41-10-0008|Smoking status, Inuit population, by Inuit region of residence|health_and_safety, persons|demographic characteristics and indigenous groups, health, health and well-being, indigenous peoples, lifestyle and social conditions, smoking, table|Smoking status, by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat (occasional).|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100008-eng.zip
41-10-0009|Food security by Aboriginal Identity|health_and_safety, persons|food insecurity, health, health and well-being, indigenous peoples, lifestyle and social conditions, table|Food security, by Aboriginal identity, age group, sex, and number of persons in household, population aged 6 years and over, Canada, provinces and territories (occasional).|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100009-eng.zip
41-10-0010|Food security, Inuit population, by Inuit region of residence|health_and_safety, persons|demographic characteristics and indigenous groups, food insecurity, health, health and well-being, indigenous peoples, lifestyle and social conditions, table|Food security, by age group, sex, and number of persons in household, Inuit population aged 6 years and over, Canada and Inuit Nunangat (occasional).|2015-11-09 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100010-eng.zip
41-10-0011|Perceived mental health and suicidal thoughts by Aboriginal identity|health_and_safety, persons|health, health and well-being, indigenous peoples, mental health and well-being, perceived or self-rated health, suicide, table|Perceived mental health and suicidal thoughts, by Aboriginal identity, age group and sex, population aged 18 years and over, occasional.|2015-07-14 08:30:00|2012-01-01 00:00:00|2012-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100011-eng.zip
41-10-0012|Methods used to look for work by Aboriginal identity, unemployed|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>How the unemployed have searched for employment by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories.</p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100012-eng.zip
41-10-0013|Methods used to look for work by Inuit population, unemployed|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>How the unemployed have searched for employment by age group and sex, Inuit population aged 15 years and over, Canada and Inuit Nunangat.</p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100013-eng.zip
41-10-0014|Reasons for difficulty in finding work by Aboriginal identity, unemployed|labour, persons|employment and unemployment, indigenous peoples, indigenous peoples and the labour market, labour, labour and employment, table, unemployment|<p>Challenges faced by the unemployed when searching for work by Aboriginal identity, age group and sex, population aged 15 years and over, Canada, provinces and territories.</p>|2018-12-05 08:31:00|2017-01-01 00:00:00|2017-01-01 00:00:00|https://www150.statcan.gc.ca/n1/tbl/csv/41100014-eng.zip
